Date,price,log_return,volatility_20d,mean_return_20d,ma_50,price_ma_ratio
2024-01-23,21238.80078125,-0.017900098054810153,0.008677725507394955,-0.00025969600726710284,20925.995,1.0149481915316334
2024-01-24,21453.94921875,0.010079006802925212,0.008930149516212271,2.9372938484091474e-05,20967.16796875,1.0232163566737058
2024-01-25,21352.599609375,-0.004735247364061254,0.008674498028290146,-0.0007025668048259179,21005.71296875,1.016513918910587
2024-01-29,21737.599609375,0.01786996821930258,0.009531511458091812,-9.444650097152947e-05,21051.5939453125,1.032586875171761
2024-01-30,21522.099609375,-0.009963166019046519,0.009776926398531137,-0.00048389706008636113,21088.526953125,1.020559646352433
2024-01-31,21725.69921875,0.009415559590485083,0.010024318509186132,-3.727183642715957e-05,21127.736953125,1.0283022392294863
2024-02-01,21697.44921875,-0.00130114950214822,0.00999624281690862,7.298448137403379e-05,21167.049921875,1.025057780788189
2024-02-02,21853.80078125,0.007180149098767169,0.00997609147210762,0.0007757643459853876,21210.2459375,1.030341696444556
2024-02-05,21771.69921875,-0.0037639297855089193,0.009928591279403614,0.00026041696257181747,21250.0119140625,1.02454997704459
2024-02-06,21929.400390625,0.007217294659854949,0.010040952660493327,0.0005009175756697144,21292.3629296875,1.029918589263256
2024-02-07,21930.5,5.014190025218764e-05,0.009782839112815231,0.0009610479209469358,21334.9329296875,1.0279151133155788
2024-02-08,21717.94921875,-0.009739290405751649,0.01006900013181207,0.00040011404205751,21373.3979296875,1.0161205667997188
2024-02-09,21782.5,0.0029678235415700974,0.010062338385388375,0.00037741251837517523,21411.2539453125,1.0173388282459177
2024-02-12,21616.05078125,-0.007670764664605448,0.010217664139652121,-7.199746408804902e-05,21441.64296875,1.0081340694252856
2024-02-13,21743.25,0.005867234081485647,0.009964801332808814,-0.00034672092733875387,21473.8449609375,1.0125457289811195
2024-02-14,21840.05078125,0.004442111482625561,0.009778685509764752,-0.0005858352936718217,21505.28796875,1.0155665347511948
2024-02-15,21910.75,0.003231907943473083,0.009797669866119551,-0.0002766104972173718,21529.766953125,1.0176956419316792
2024-02-16,22040.69921875,0.005913324803860001,0.008557571200656507,0.0010748442666628653,21553.4789453125,1.0226051801045075
2024-02-19,22122.25,0.0036931806134258504,0.008448894856011175,0.0015144155725731261,21577.1699609375,1.0252618874509165
2024-02-20,22196.94921875,0.003370967472487328,0.008347295301987273,0.0013112512207291292,21603.0859375,1.0274897430380137
2024-02-21,22055.05078125,-0.006413220819374543,0.007283230732643305,0.0018855950825009096,21624.7989453125,1.0198962236377584
2024-02-22,22217.44921875,0.007336344949249518,0.007145355933754499,0.0017484619898171252,21649.2059375,1.0262477655250029
2024-02-23,22212.69921875,-0.000213818777795819,0.00699945866321521,0.0019745334191303967,21675.3319140625,1.0247916528714778
2024-02-26,22122.05078125,-0.004089278221713085,0.00602997140998438,0.0008765710970796136,21699.2459375,1.0194847712666053
2024-02-27,22198.349609375,0.003443060208267885,0.005481793643399943,0.0015468824084453338,21719.5589453125,1.0220442167020078
2024-02-28,21951.150390625,-0.011198396451173726,0.005850013328178732,0.0005161846063623933,21729.4489453125,1.0102028102907932
2024-02-29,21982.80078125,0.0014408171929075416,0.005837297436800215,0.0006532829411151814,21740.731953125,1.0111343458282327
2024-03-01,22338.75,0.0160624736924449,0.006642388517811008,0.0010973991707990678,21758.4449609375,1.0266703360513267
2024-03-04,22405.599609375,0.0029880715530739466,0.006553294976539626,0.0014349992377282112,21783.5539453125,1.028555747405779
2024-03-05,22356.30078125,-0.0022027147028049303,0.006453595568551084,0.0009639987695952172,21805.5789453125,1.0252560061495588
2024-03-06,22474.05078125,0.0052531495595052715,0.006519352305461712,0.0012241491525578712,21828.071953125,1.0295939480826442
2024-03-07,22493.55078125,0.0008672911404987264,0.005990529794948075,0.0017544782298703904,21849.1159765625,1.0294947770600322
2024-03-11,22332.650390625,-0.007178885448103384,0.006303831298881963,0.001247142780386716,21862.673984375,1.0214967485947002
2024-03-12,22335.69921875,0.00013650954899359894,0.0059545835874357505,0.0016375064910666686,21873.813984375,1.0211158984301931
